日期,標題,來源,連結
2026-08-24,Jackson Hole 全球央行年會28日登場，距9月FOMC僅19天，聯準會主席華許首場演說,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7801/
2026-08-24,特斯拉 Cybercab 9月3日德州登場，現行無人監督車隊僅14輛能否扛下Model Y的重任？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7803/
2026-08-24,股王爭霸戰！信驊(5274)盤中殺低4.89%、川湖(2059)攻上漲停衝14720元，股王寶座價差探至280元易主,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7804/
2026-08-21,諾基亞 Nokia (NOK) Q2營收年增9%，達48.2億歐元，撤出中國關閉多處據點裁員1600人，摩根大通仍喊上看翻倍？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/6581/
2026-08-21,PCB鑽針是什麼？有哪些概念股？AI 伺服器主板結構，「兩大廠」如何接招！,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/6852/
2026-08-21,Waymo自研ASIC晶片正式量產，每輛車雙晶片互為備援，台積電5奈米代工,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7797/
2026-08-21,貝森特救美債，擴大長債回購至40億美元，為何殖利率隔天就打回原形？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7798/
2026-08-20,Mag7美股是什麼？AI資本支出競賽下，七大巨頭總市值23.35兆美元、NVDA漲16.8%封王,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/5192/
2026-08-20,莫德納 Moderna(MRNA) 股價單日暴漲177%創掛牌新高，攜手默沙東癌症疫苗解盲成功,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7791/
2026-08-20,<美股盤後> 默沙東飆漲12.6%、莫德納暴漲177%背後，黑色素瘤新藥試驗藏什麼玄機？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7792/
2026-08-20,雅詩蘭黛(EL)第四季財報全面優於預期，EPS年增逾4倍、股價收漲16.4%達98.05美元,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7793/
2026-08-20,Marvell (MRVL)股價飆升近一成，Google認股權證背後藏著千億營收目標與晶片版圖,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7794/
2026-08-20,Pilgrim's Pride(PPC) 股價盤中一度大漲14%，JBS開出12億美元換股收購提案,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7795/
2026-08-19,功率半導體概念股完整解析：市場規模、應用趨勢與投資重點,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/5852/
2026-08-19,Targa Resources（TRGP）攜手艾克森美孚簽二疊紀盆地20年合約，股價漲6.7%、資本支出上看50億元,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7787/
2026-08-19,<美股盤後> 美股費半重返牛市僅一天崩4.98%，記憶體全面重挫殖利率貼近19年高點,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7788/
2026-08-19,Etched是什麼公司？創立4年估值衝上103億美元，為何能搶下10億美元AI晶片訂單？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7789/
2026-08-18,英特爾Intel (INTC) 台灣概念股有哪些？Q2營收強勁年增25%，美政府入股後續？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/6246/
2026-08-18,矽光子CPO概念股有哪些？聯亞(3081)營收年增128%，上詮(3363) 波若威(3163) 同步年減,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7688/
2026-08-18,磷化銦(InP)概念股，AXT收8700萬美元鎖產能至2031年，台廠誰受惠最深？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7748/
2026-08-18,"沃爾瑪、目標、家得寶、勞氏本週齊發財報，返校消費季衝上1,468億美元新高",口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7784/
2026-08-18,輝達(NVDA)投資SB Energy金額腰斬至15億美元，仍加碼千億信用擔保搶Ohio基地,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7785/
2026-08-18,Anthropic 估值反超OpenAI衝上9650億美元，10月掛牌前投資人該留意哪些關鍵訊息,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7786/
